subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	16	Create new	genus	Paratulasvirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Tulasviridae;Paratulasvirus'	NA	12
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	17	Create new	species	Paratulasvirus agrocybes	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Tulasviridae;Paratulasvirus	NA	17
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	17	Create new	species	Paratulasvirus agrocybes	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Tulasviridae;Paratulasvirus;Paratulasvirus agrocybes'	NA	17
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	18	Create new	family	Konkoviridae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales	NA	4
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	18	Create new	family	Konkoviridae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create family of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Konkoviridae'	NA	4
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	19	Create new	genus	Olpivirus	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Konkoviridae	NA	13
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	19	Create new	genus	Olpivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Konkoviridae;Olpivirus'	NA	13
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	20	Create new	species	Olpivirus tulipae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Konkoviridae;Olpivirus	NA	18
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	20	Create new	species	Olpivirus tulipae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Konkoviridae;Olpivirus;Olpivirus tulipae'	NA	18
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	21	Create new	genus	Bocivirus	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14;2023.024M.N.v1.Bunyaviricetes.zip:12 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales;move family Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Phenuiviridae, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Phenuiviridae	NA	14
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	21	Create new	genus	Bocivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phenuiviridae;Bocivirus'	NA	14
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	22	Create new	species	Bocivirus botrytidis	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14;2023.024M.N.v1.Bunyaviricetes.zip:12 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales;move family Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Phenuiviridae, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Phenuiviridae;Bocivirus	NA	19
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	22	Create new	species	Bocivirus botrytidis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phenuiviridae;Bocivirus;Bocivirus botrytidis'	NA	19
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	23	Create new	species	Bocivirus fusarii	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14;2023.024M.N.v1.Bunyaviricetes.zip:12 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales;move family Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Phenuiviridae, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Phenuiviridae;Bocivirus	NA	20
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	23	Create new	species	Bocivirus fusarii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phenuiviridae;Bocivirus;Bocivirus fusarii'	NA	20
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	24	Create new	species	Bocivirus trichodermae	INFO	CREATE.PARENT_RENAMED	Change=NEW, proposed parent taxon exists, but not with expected name/lineage, using observed lineage	otherProposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14;2023.024M.N.v1.Bunyaviricetes.zip:12 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales;move family Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Phenuiviridae, PROPOSED//OBSERVED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;Elliovirales;Phenuiviridae;Bocivirus	NA	21
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	24	Create new	species	Bocivirus trichodermae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes;Elliovirales;Phenuiviridae;Bocivirus;Bocivirus trichodermae'	NA	21
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	25	Move; rename	species	Coguvirus viticulum	ERROR	XLSX.NON_ALPHA-NUMERIC	XLSX has non-(AlphaNumeric or hyphen) characters removed	srcGenus : Coguvirus[ ]viticulum 	NA	0
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	25	Move; rename	species	Coguvirus viticulum	ERROR	MOVE.DIFF_RANK	Change=MOVE, but 'current taxonomy' and 'proposed taxonomy' ranks differ; use promote or demote, not move, to change rank	CUR//PROPOSED=[genus//species] Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunya//Ellio]virales;Phenuiviridae;[Coguvirusviticulum//Bocivirus];[//Bocivirus viticulum]	NA	22
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	26	Rename	class	Ellioviricetes	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME class from 'Ellioviricetes' to 'Bunyaviricetes' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina'	NA	1
