filename	sort	proposal_abbrev	proposal	spreadsheet	srcRealm	srcSubrealm	srcKingdom	srcSubkingdom	srcPhylum	srcSubphylum	srcClass	srcSubclass	srcOrder	srcSuborder	srcFamily	srcSubfamily	srcGenus	srcSubgenus	srcSpecies	srcexemplarAccessions	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	exemplarAccessions	exemplarName	Abbrev	exemplarIsolate	isComplete	molecule	hostSource	change	rank
load_next_msl.msl36v1.txt	689	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus noelle	MN813697.1	Mycobacterium phage Noelle			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	690	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus miramae	MK494117.1	Mycobacterium phage Miramae			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	691	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus mundrea	KX579975.1	Mycobacterium phage Mundrea			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	692	2021.006B	2021.006B.A.v1.Backyardiganvirus.zip	2021.006B.A.v1.Backyardiganvirus.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Backyardiganvirus		Backyardiganvirus cindaradix	MF919498.1	Mycobacterium phage Cindaradix			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	693	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Thonkovirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	694	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Thonkovirus		Thonkovirus thonko	MH632120.1	Mycobacterium phage Thonko			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	695	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Birdsnestvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	696	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Birdsnestvirus		Birdsnestvirus birdsnest	MN813686.1	Mycobacterium phage BirdsNest			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	697	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Lilmcdreamyvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	698	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Lilmcdreamyvirus		Lilmcdreamyvirus lilmcdreamy	MN284893.1	Mycobacterium phage LilMcDreamy			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	699	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Saguarovirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	700	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Saguarovirus		Saguarovirus saguaro	MH744423.1	Mycobacterium phage Saguaro			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	701	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Quesadillavirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	702	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Quesadillavirus		Quesadillavirus quesadilla	MN617843.1	Mycobacterium phage Quesadilla			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	703	2021.007B	2021.007B.A.v1.Bclasvirinae.zip	2021.007B.A.v1.Bclasvirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Bclasvirinae	Quesadillavirus		Quesadillavirus CRB2	MK059749.1	Mycobacterium phage CRB2			CG	dsDNA	bacteria	Create new	species
