accession	species	virus_name
LM645009	Hollyhock yellow vein mosaic virus	hollyhock yellow vein mosaic virus
LN713681	Mammalian 2 orthobornavirus	variegated squirrel bornavirus 1
LN881729	Escherichia virus slur04	Escherichia phage slur04
LR027385	Escherichia virus mar002J2	Escherichia phage vB_Eco_mar001J1 strain vB_Eco_mar002J2
LT598836	Alphapithovirus massiliense	Pithovirus massiliensis
LT607758	Klebsiella virus PMBT1	Klebsiella phage PMBT1
LT962379	Helsettvirus fPS53	Yersinia phage fPS-53
M11157	Rift Valley fever phlebovirus	Rift Valley fever virus
M14363	Ungulate bocaparvovirus 1	ungulate bocaparvovirus 1; bovine parvovirus
M20869	Lymphocytic choriomeningitis mammarenavirus	lymphocytic choriomeningitis virus
M21012	Hepatitis delta virus	hepatitis delta virus clade 1
M21628	Bovine alphaherpesvirus 2	bovine alphaherpesvirus 2
M22245	Mastadenovirus encephalomyelitidis	murine adenovirus 1
M30594	Mastadenovirus encephalomyelitidis	murine adenovirus 1
M33542	Invertebrate iridescent virus 1	invertebrate iridescent virus 1; Tipula iridescent virus
M37187	Mastadenovirus encephalomyelitidis	murine adenovirus 1
M62953	Invertebrate iridescent virus 1	invertebrate iridescent virus 1; Tipula iridescent virus
M74506	Paslahepevirus balayani	human hepatitis E virus genotype 2a
M81056	Mastadenovirus encephalomyelitidis	murine adenovirus 1
M81889	Mastadenovirus encephalomyelitidis	murine adenovirus 1
M96366	Paramecium bursaria Chlorella virus NC1A	Paramecium bursaria Chlorella virus NC1A
MF044457	Escherichia virus ST0	Escherichia phage ST0
MF095096	Grapevine virus T	grapevine virus T
MF327535	Omegapapillomavirus 1	Ailuropoda melanoleuca papillomavirus 1
MF327536	Omegapapillomavirus 1	Ailuropoda melanoleuca papillomavirus 2
MF327537	Dyonupapillomavirus 1	Ailuropoda melanoleuca papillomavirus 3
MF327538	Lambdapapillomavirus	Ailuropoda melanoleuca papillomavirus 4
MF403006	Atuphduovirus atuph03	Agrobacterium phage Atu_ph03
MF458186	Subterranean clover stunt virus	subterranean clover stunt virus
MF481197	Murciavirus CB5A	Marinomonas phage CB5A
MF642719	Cacao swollen shoot CE virus	cacao swollen shoot CE virus
MF642728	Cacao swollen shoot Ghana Q virus	cacao swollen shoot Ghana Q virus
MF773902	Corchorus yellow vein Cuba virus	Corchorus yellow vein Cuba virus
MG029284	Orthobunyavirus maritubaense	Murutucú virus
MG029285	Orthobunyavirus maritubaense	Murutucú virus
MG029286	Orthobunyavirus maritubaense	Murutucú virus
MG066576	Rice hoja blanca tenuivirus	rice hoja blanca virus
MG459218	Friunavirus SWHAb1	Acinetobacter phage SWH-Ab-1
MG599035	Friunavirus SWHAb3	Acinetobacter phage SWH-Ab-3
MG686421	Birch leaf roll-associated virus	birch leaf roll-associated virus
MG887763	Alphachrysovirus penicillii	Penicillium roseopurpureum chrysovirus 1
MH017272	Orthobunyavirus patoisense	Zegla virus
MH017279	Orthobunyavirus patoisense	Zegla virus
MH017285	Orthobunyavirus patoisense	Zegla virus
MH475920	Schefflera ringspot virus	Schefflera ringspot virus
MH484297	Orthobunyavirus shuniense	Kaikalur virus
MH484298	Orthobunyavirus shuniense	Kaikalur virus
MH484299	Orthobunyavirus shuniense	Kaikalur virus
MH614261	Birdsfoot trefoil enamovirus 1	bird's-foot trefoil enamovirus 1
MH614262	Trefoil betanucleorhabdovirus	bird's-foot trefoil-associated virus 1
MH633487	Klebsiella virus NJR15	Klebsiella phage NJR15
MH900517	Oncorhynchus aquaparamyxovirus	Pacific salmon paramyxovirus
MH972568	Orthorubulavirus alstonvillense	Alston virus
MK033136	Kayfunavirus EcpYZU01	Enterobacter phage EcpYZU01
MK048221	Codonopsis vein clearing virus	Codonopsis vein clearing virus
MK087122	Passionfruit leaf curl virus	passionfruit leaf curl virus
MK335533	Tunavirus tv008	Shigella phage vB_SsoS_008
MK416012	Felsduovirus ST437OXA245phi42	Klebsiella phage ST437-OXA245phi4.2
MK474470	Maculvirus OWB	Vibrio phage_vB_VpaS_OWB
MN131142	Pbunavirus PA8P1	Pseudomonas phage PA8P1
MN499470	Lena mobatvirus	Lena virus
MN499471	Lena mobatvirus	Lena virus
MN513374	Orthophasmavirus flenense	Flen virus
MN513375	Orthophasmavirus flenense	Flen virus
MN513376	Orthophasmavirus flenense	Flen virus
MN5326222	Betascleroulivirus betaplasmoparae	Plasmopara viticola lesion associated ourmia-like virus 35
MN651699	Jeilongvirus erinacei	belerina virus
MT153364	Feravirus hemipterus	hemipteran phasma-related virus OKIAV247
MT153396	Feravirus hemipterus	hemipteran phasma-related virus OKIAV247
MT153439	Feravirus hemipterus	hemipteran phasma-related virus OKIAV247
MT153459	Orthophasmavirus coleopterus	coleopteran phasma-related virus OKIAV235
MT153483	Orthophasmavirus coleopterus	coleopteran phasma-related virus OKIAV235
MT153542	Orthophasmavirus coleopterus	coleopteran phasma-related virus OKIAV235
MW548506	Iflavirus achedomestici	Acheta domesticus Iflavirus
MW685616	Orthobunyavirus olifantsvleiense	Olifantsvlei virus
MW741894	Laulavirus wardellense	Wardell virus
MW741895	Laulavirus wardellense	Wardell virus
MW741896	Laulavirus wardellense	Wardell virus
MW864074	Birfecvirus tibetense	Arlivirus sp. XZN142934
NC010308	Apscaviroid pvd	persimmon viroid
NC012127	Coleviroid cbvd-5	Coleus blumei viroid 5
